YEAR,MONTH,NORTH_AMERICA,EUROPE,EU,EU15,OTHER_EU,OTHER_COUNTRIES,WORLD_TOTAL,SEASONALLY_ADJUSTED_WORLD_TOTAL,YEAR_CLEANED,MONTH_CLEANED,DAY_CLEANED,DATE_CLEANED,OLD_DATE,IF_ERROR,M_OR_P
2019,January,330000.00,1936000.00,1803000.00,1483000.00,324000.00,563000.00,2830000.00,3260000.00,2019,1,1,01/01/2019,01/01/1900,FALSE,
2019,February,213000.00,1742000.00,1607000.00,1272000.00,332000.00,418000.00,2372000.00,3150000.00,2019,2,1,01/02/2019,01/01/1900,FALSE,0
2019,March,356000.00,2365000.00,2133000.00,1701000.00,430000.00,407000.00,3129000.00,3570000.00,2019,3,1,01/03/2019,01/01/1900,FALSE,0
2019,April,319000.00,2417000.00,2192000.00,1854000.00,345000.00,462000.00,3199000.00,3200000.00,2019,4,1,01/04/2019,01/01/1900,FALSE,0
2019,May,570000.00,2219000.00,2039000.00,1630000.00,399000.00,650000.00,3438000.00,3210000.00,2019,5,1,01/05/2019,01/01/1900,FALSE,0
2019,June,648000.00,2243000.00,2041000.00,1703000.00,341000.00,836000.00,3727000.00,3470000.00,2019,6,1,01/06/2019,01/01/1900,FALSE,0
2019,July,696000.00,2453000.00,2188000.00,1802000.00,386000.00,1006000.00,4155000.00,3370000.00,2019,7,1,01/07/2019,01/01/1900,FALSE,0
2019,August,593000.00,2707000.00,2499000.00,2083000.00,418000.00,1118000.00,4418000.00,3530000.00,2019,8,1,01/08/2019,01/01/1900,FALSE,0
2019,September,456000.00,1996000.00,1825000.00,1505000.00,319000.00,840000.00,3292000.00,3360000.00,2019,9,1,01/09/2019,01/01/1900,FALSE,0
2019,October,457000.00,2537000.00,2289000.00,1910000.00,380000.00,737000.00,3731000.00,3530000.00,2019,10,1,01/10/2019,01/01/1900,FALSE,0
2019,November,360000.00,2209000.00,1978000.00,1572000.00,405000.00,552000.00,3121000.00,3360000.00,2019,11,1,01/11/2019,01/01/1900,FALSE,0
2019,December,374000.00,2469000.00,2235000.00,1814000.00,421000.00,602000.00,3445000.00,3790000.00,2019,12,1,01/12/2019,01/01/1900,FALSE,0
2020,January,337000.00,2032000.00,1827000.00,1461000.00,364000.00,667000.00,3036000.00,3480000.00,2020,1,1,01/01/2020,01/01/1900,FALSE,0
2020,February,249000.00,1869000.00,1697000.00,1316000.00,372000.00,394000.00,2512000.00,3310000.00,2020,2,1,01/02/2020,01/01/1900,FALSE,0
