YEAR,MONTH,HOLIDAY,BUSINESS,VISITING_FRIENDS_OR_RELATIVES,MISCELLANEOUS,TOTAL,SEASONALLY_ADJUSTED_TOTAL,YEAR_CLEANED,MONTH_CLEANED,DAY_CLEANED,DATE_CLEANED,OLD_DATE,M_OR_P
Year,Month,Holiday,Business,Visiting_friends_or_relatives,Miscellaneous,Total,Seasonally_Adjusted_Total,year_cleaned,month_cleaned,day_cleaned,date_cleaned,Old_date,M_or_P
2019,January,"2,706,000","597,000","2,719,000","127,000","6,149,000","7,830,000",2019,1,1,01/01/2019,January 2019,
2019,February,"3,155,000","886,000","1,405,000","93,000","5,538,000","7,680,000",2019,2,1,01/02/2019,February 2019,0
2019,March,"3,879,000","749,000","1,671,000","174,000","6,473,000","8,300,000",2019,3,1,01/03/2019,March 2019,0
2019,April,"5,041,000","836,000","2,387,000","143,000","8,406,000","8,010,000",2019,4,1,01/04/2019,April 2019,0
2019,May,"5,483,000","781,000","1,796,000","168,000","8,228,000","8,120,000",2019,5,1,01/05/2019,May 2019,0
2019,June,"6,219,000","917,000","1,799,000","190,000","9,125,000","7,760,000",2019,6,1,01/06/2019,June 2019,0
2019,July,"6,146,000","605,000","1,718,000","178,000","8,647,000","7,690,000",2019,7,1,01/07/2019,July 2019,0
2019,August,"8,026,000","597,000","2,819,000","185,000","11,628,000","7,780,000",2019,8,1,01/08/2019,August 2019,0
2019,September,"6,452,000","801,000","2,308,000","163,000","9,725,000","7,620,000",2019,9,1,01/09/2019,September 2019,0
2019,October,"5,516,000","857,000","1,839,000","223,000","8,434,000","7,520,000",2019,10,1,01/10/2019,October 2019,0
2019,November,"3,211,000","798,000","1,532,000","141,000","5,683,000","7,440,000",2019,11,1,01/11/2019,November 2019,0
2019,December,"2,839,000","556,000","1,524,000","131,000","5,050,000","7,370,000",2019,12,1,01/12/2019,December 2019,0
2020,January,"2,458,000","684,000","2,195,000","82,000","5,419,000","7,050,000",2020,1,1,01/01/2020,January 2020,0
2020,February,"3,015,000","624,000","1,483,000","110,000","5,232,000","7,090,000",2020,2,1,01/02/2020,February 2020,0
2020,March,"2,187,000","243,000","734,000","76,000","3,239,000","5,240,000",2020,3,1,01/03/2020,March 2020,0
2020,April,"132,000","21,000","65,000","2,000","219,000",,2020,4,1,01/04/2020,April 2020,0
2020,May,"180,000","26,000","65,000","4,000","275,000",,2020,5,1,01/05/2020,May 2020,0
2020,June,"306,000","40,000","89,000","10,000","445,000",,2020,6,1,01/06/2020,June 2020,0
2020,July,"951,000","96,000","282,000","31,000","1,360,000",,2020,7,1,01/07/2020,July 2020,0
2020,August,"1,918,000","121,000","697,000","23,000","2,759,000",,2020,8,1,01/08/2020,August 2020,0
2020,September,"1,375,000","165,000","505,000","26,000","2,072,000",,2020,9,1,01/09/2020,September 2020,0
2020,October,"892,000","139,000","306,000","32,000","1,369,000",,2020,10,1,01/10/2020,October 2020,0
2020,November,"362,000","92,000","185,000","19,000","659,000",,2020,11,1,01/11/2020,November 2020,0
2020,December,"411,000","85,000","250,000","33,000","779,000",,2020,12,1,01/12/2020,December 2020,0
2021,January,"14,000","11,000","88,000","11,000","124,000",,2021,1,1,01/01/2021,January 2021,0
2021,February,"14,000","22,000","232,000","24,000","292,000",,2021,2,1,01/02/2021,February 2021,0
2021,March,"20,000","35,000","267,000","34,000","357,000",,2021,3,1,01/03/2021,March 2021,0
2021,April,"7,000","29,000","188,000","36,000","260,000",,2021,4,1,01/04/2021,April 2021,0
2021,May,"36,000","43,000","172,000","36,000","287,000",,2021,5,1,01/05/2021,May 2021,0
2021,June,"130,000","40,000","242,000","42,000","453,000",,2021,6,1,01/06/2021,June 2021,0
2021,July,"660,000","116,000","600,000","56,000","1,432,000",,2021,7,1,01/07/2021,July 2021,0
2021,August,"1,470,000","87,000","1,432,000","56,000","3,044,000",,2021,8,1,01/08/2021,August 2021,0
2021,September,"1,850,000","193,000","1,494,000","95,000","3,633,000",,2021,9,1,01/09/2021,September 2021,0
2021,October,"1,798,000","288,000","1,105,000","72,000","3,263,000",,2021,10,1,01/10/2021,October 2021,0
2021,November,"1,441,000","271,000","1,027,000","94,000","2,833,000",,2021,11,1,01/11/2021,November 2021,0
2021,December,"1,412,000","185,000","1,185,000","86,000","2,868,000",,2021,12,1,01/12/2021,December 2021,0
2022,January,"965,000","110,000","1,437,000","46,000","2,558,000",,2022,1,1,01/01/2022,January 2022,0
2022,February,"1,696,000","163,000","1,039,000","87,000","2,985,000",,2022,2,1,01/02/2022,February 2022,0
2022,March,"2,275,000","389,000","1,251,000","119,000","4,034,000",,2022,3,1,01/03/2022,March 2022,0
2022,April,"3,729,000","410,000","1,957,000","137,000","6,234,000",,2022,4,1,01/04/2022,April 2022,0
2022,May,"4,052,000","463,000","1,642,000","217,000","6,374,000",,2022,5,1,01/05/2022,May 2022,0
2022,June,"5,648,000","504,000","1,510,000","152,000","7,815,000",,2022,6,1,01/06/2022,June 2022,0
