YEAR,MONTH,OVERSEAS_RESIDENTS_SPENDING_IN_UK,SEASONALLY_ADJUSTED_OVERSEAS_RESIDENTS_SPENDING_IN_UK,"UK_RESIDENTS
SPENDING_ABROAD","SEASONALLY_ADJUSTED
UK_RESIDENTS
SPENDING_ABROAD",BALANCE_[NOTE_1],"SEASONALLY_ADJUSTED
BALANCE_[NOTE_1]",YEAR_CLEANED,MONTH_CLEANED,DAY_CLEANED,DATE_CLEANED,OLD_DATE,M_OR_P
Year,Month,Overseas_Residents_Spending_in_UK,Seasonally_Adjusted_Overseas_Residents_Spending_in_UK,"UK_Residents
Spending_Abroad","Seasonally_Adjusted
UK_Residents
Spending_Abroad",Balance_[Note_1],"Seasonally_Adjusted
Balance_[Note_1]",year_cleaned,month_cleaned,day_cleaned,date_cleaned,Old_date,M_or_P
2019,January,"1,646","2,140","3,994","5,590","-2,350","-3,450",2019,1,1,01/01/2019,January 2019,
2019,February,"1,318","2,100","3,356","4,750","-2,040","-2,650",2019,2,1,01/02/2019,February 2019,0
2019,March,"1,840","2,350","4,106","5,330","-2,270","-2,980",2019,3,1,01/03/2019,March 2019,0
2019,April,"1,824","2,070","5,018","5,290","-3,190","-3,220",2019,4,1,01/04/2019,April 2019,0
2019,May,"2,347","2,290","5,011","5,150","-2,660","-2,860",2019,5,1,01/05/2019,May 2019,0
2019,June,"2,725","2,430","6,128","5,240","-3,400","-2,810",2019,6,1,01/06/2019,June 2019,0
2019,July,"3,090","2,310","5,950","5,050","-2,860","-2,740",2019,7,1,01/07/2019,July 2019,0
2019,August,"3,510","2,360","8,687","5,210","-5,180","-2,850",2019,8,1,01/08/2019,August 2019,0
2019,September,"2,593","2,320","7,235","5,270","-4,640","-2,960",2019,9,1,01/09/2019,September 2019,0
2019,October,"2,645","2,560","5,827","5,230","-3,180","-2,660",2019,10,1,01/10/2019,October 2019,0
2019,November,"2,201","2,460","3,906","5,200","-1,700","-2,740",2019,11,1,01/11/2019,November 2019,0
2019,December,"2,708","2,980","3,108","4,990",-400,"-2,010",2019,12,1,01/12/2019,December 2019,0
2020,January,"2,026","2,620","3,340","4,640","-1,310","-2,020",2020,1,1,01/01/2020,January 2020,0
2020,February,"1,538","2,330","3,454","4,690","-1,920","-2,360",2020,2,1,01/02/2020,February 2020,0
2020,March,780,"1,020","2,421","3,200","-1,640","-2,180",2020,3,1,01/03/2020,March 2020,0
2020,April,82,,151,,-70,,2020,4,1,01/04/2020,April 2020,0
2020,May,75,,139,,-60,,2020,5,1,01/05/2020,May 2020,0
2020,June,61,,113,,-50,,2020,6,1,01/06/2020,June 2020,0
2020,July,69,,"1,361",,"-1,290",,2020,7,1,01/07/2020,July 2020,0
2020,August,519,,846,,-330,,2020,8,1,01/08/2020,August 2020,0
2020,September,448,,734,,-290,,2020,9,1,01/09/2020,September 2020,0
2020,October,270,,530,,-260,,2020,10,1,01/10/2020,October 2020,0
2020,November,156,,309,,-150,,2020,11,1,01/11/2020,November 2020,0
2020,December,185,,369,,-180,,2020,12,1,01/12/2020,December 2020,0
2021,January,76,,124,,-50,,2021,1,1,01/01/2021,January 2021,0
2021,February,82,,271,,-190,,2021,2,1,01/02/2021,February 2021,0
2021,March,89,,423,,-330,,2021,3,1,01/03/2021,March 2021,0
2021,April,87,,310,,-220,,2021,4,1,01/04/2021,April 2021,0
2021,May,134,,344,,-210,,2021,5,1,01/05/2021,May 2021,0
2021,June,165,,469,,-300,,2021,6,1,01/06/2021,June 2021,0
2021,July,433,,"1,266",,-830,,2021,7,1,01/07/2021,July 2021,0
2021,August,626,,"2,444",,"-1,820",,2021,8,1,01/08/2021,August 2021,0
2021,September,716,,"2,869",,"-2,150",,2021,9,1,01/09/2021,September 2021,0
2021,October,867,,"2,361",,"-1,490",,2021,10,1,01/10/2021,October 2021,0
2021,November,"1,186",,"2,057",,-870,,2021,11,1,01/11/2021,November 2021,0
2021,December,985,,"2,289",,"-1,300",,2021,12,1,01/12/2021,December 2021,0
2022,January,702,,"2,170",,"-1,470",,2022,1,1,01/01/2022,January 2022,0
2022,February,787,,"2,421",,"-1,630",,2022,2,1,01/02/2022,February 2022,0
2022,March,"1,363",,"3,090",,"-1,730",,2022,3,1,01/03/2022,March 2022,0
2022,April,"1,863",,"4,627",,"-2,760",,2022,4,1,01/04/2022,April 2022,0
2022,May,"2,229",,"5,009",,"-2,780",,2022,5,1,01/05/2022,May 2022,0
2022,June,"2,755",,"6,195",,"-3,440",,2022,6,1,01/06/2022,June 2022,0
2022,July,"3,257",,"6,366",,"-3,110",,2022,7,1,01/07/2022,July 2022,0
2022,August,"3,174",,"8,400",,"-5,230",,2022,8,1,01/08/2022,August 2022,0
2022,September,"2,635",,"7,537",,"-4,900",,2022,9,1,01/09/2022,September 2022,0
2022,October,"2,905",,"5,876",,"-2,970",,2022,10,1,01/10/2022,October 2022,0
2022,November,"2,258",,"3,418",,"-1,160",,2022,11,1,01/11/2022,November 2022,0
2022,December,"2,570",,"3,426",,-860,,2022,12,1,01/12/2022,December 2022,0
2023,January P,"2,107",,"4,455",,"-2,350",,2023,1,1,01/01/2023,January P 2023,P
2023,February P,"1,388",,"3,929",,"-2,540",,2023,2,1,01/02/2023,February P 2023,P
2023,March P,"2,130",,"4,311",,"-2,180",,2023,3,1,01/03/2023,March P 2023,P
2023,April P,"2,325",,"5,692",,"-3,370",,2023,4,1,01/04/2023,April P 2023,P
2023,May P,"2,649",,"6,128",,"-3,480",,2023,5,1,01/05/2023,May P 2023,P
2023,June P,"2,925",,"7,514",,"-4,590",,2023,6,1,01/06/2023,June P 2023,P
2023,July M,"3,420",,"6,500",,"-3,080",,2023,7,1,01/07/2023,July M 2023,M
2023,August M,"3,390",,"7,510",,"-4,120",,2023,8,1,01/08/2023,August M 2023,M
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
